Title,Broad AQMN Region,"Sub-region,where applicable",Site address,Latitude,Longitude,Altitude (ahd),Commissioned,Status,Station type,Timezone of site location,Timezone observations reported in,Station Movement (m),PM10 (compliance),PM2.5 (compliance equivalence),PM2.5 (compliance reference),Particles (indicative),NO/NO2/NOx,SO2,O3,NEPH,CO,NH3,Weather (indicative),WSP/WD/SD1,WGU,TEMP/RH,SOLAR,PRECIPITATION,BC,CEIL,Web link to station meta data page,O3,PM2.5,PM10
Randwick,Sydney,Sydney east,Randwick Barracks,-33.93175,151.24278,28,1994,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/randwick,116,98,104
Richmond,Sydney,Sydney north west,University of Western Sydney,-33.61641,150.74731,21,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,ü,ü,,ü,ü,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/richmond,115,64,90
Rouse Hill,Sydney,Sydney central west,Cudgegong Rd,-33.68275,150.90366,73,2019,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/rouse-hill,84,83,103
Rozelle,Sydney,Sydney east,Rozelle Hospital,-33.86433,151.16395,22,1970,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,ü,ü,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/rozelle,116,115,105
St Marys,Sydney,Sydney north west,Mamre Rd,-33.79512,150.76677,29,1992,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,,,,ü,,ü,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/sydney/monitoring-stations/st-marys,131,46,128
Sydney,Sydney,Sydney east,George & Market Sts,-33.87092,151.20706,28,1974,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,,ü,,,,,,,,,,Not available,35,126,116
Vineyard,Sydney,Sydney central west,Castle Hill STP,-33.65623,150.84768,35,1994,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,ü,ü,ü,,,,ü,,ü,ü,,,,Not available,59,138,64
Woolooware,Sydney,Sydney east,Woolooware Rd,-34.04271,151.14212,12,1982,Decommissioned (2004),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,,,,ü,,ü,ü,,,,Not available,125,58,89
Armidale,Rural Network,Northern Tablelands ,Kirkwood Street,-30.50845,151.66166,982,2018,Decommissioned (2019),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,21,78,61
Bourke,Rural Network,Far West,BoM site,-30.0362,145.952,110,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/bourke,124,140,102
Broken Hill,Rural Network,Far West,BoM airport,-32.0012,141.469,285,2008,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/broken-hill,102,132,134
Buronga,Rural Network,Far West,DPI research centre,-34.1747,142.201,51,2003,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/buronga,50,56,93
Cobar,Rural Network,Far West,BoM site,-31.4837,145.829,260,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/cobar,131,14,76
Condobolin,Rural Network,Central West NSW,DPI research centre,-33.06646,147.22832,193,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/condoblin,135,147,125
Cooma,Rural Network,Southern Tablelands,Snowy Hydro Discover Centre,-36.2226,149.1331,831,2020,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/cooma,6,141,31
Coombah,Rural Network,Far West,Silver City Highway,-32.97618,141.61834,193,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/coombah,73,67,6
Cowra,Rural Network,Central Tablelands,BoM airport,-33.83818,148.65413,296,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/cowra,100,52,43
Deniliquin,Rural Network,Riverina-Murray,BoM airport,-35.5575,144.946,98,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/deniliquin,97,118,97
Dubbo,Rural Network,Central West NSW,BoM airport,-32.2195,148.578,282,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/dubbo,91,108,143
Euston,Rural Network,Far West,Private property,-34.443,142.889,282,2005,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/euston,146,105,137
Grafton,Rural Network,Northern Rivers,Grafton Primary Industries Institute ,-29.62236,152.96063,35,2019,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),"In April 2020, moved  from -29.620691, 152.96331 to its currrent location",,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/grafton,8,32,18
Griffith,Rural Network,Riverina-Murray,BoM airport,-34.24889,146.06981,132,2012,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/griffith,140,133,99
Gunnedah,Rural Network,North West Slopes,Kitchener Park - Osric St,-30.98188,150.26067,274,2019,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/regional-monitoring-stations/gunnedah,113,69,27
Gunnedah South East,Rural Network,North West Slopes,DPIE research centre,-31.0261,150.269,309,2003,Decommissioned (2019),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,14,142,62
Hay,Rural Network,Riverina-Murray,BoM site,-34.5413,144.83449,89,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/hay,132,42,128
Hillston,Rural Network,Riverina-Murray,BoM airport,-33.49157,145.52482,121,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/hillston,28,48,75
Ivanhoe,Rural Network,Far West,Private property,-33.0548,144.154,84,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/ivanhoe,36,114,128
Junee,Rural Network,Riverina-Murray,Private property,-34.8254,147.51,279,2012,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/junee,42,148,39
Kyalite,Rural Network,Riverina-Murray,Stony Crossing Road,-35.03305,143.53093,279,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/kyalite,86,51,67
Lake Victoria,Rural Network,Far West,Private property,-34.0485,141.063,55,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/lake-victoria,45,42,146
Lameroo,Rural Network,Far West (outside NSW),BoM site,-35.3778,140.538,112,2011,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/lameroo,84,139,147
Lismore,Rural Network,Northern Rivers,Northern Rivers Aero Club,-28.83622,153.26275,15,2020,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),"Moved from -28.8243, 153.2568 on 15/6/21 to current location",,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/lismore,86,8,136
Loddon Plains,Rural Network,Riverina-Murray (outside NSW),AG research station,-36.4538,144.319,111,2011,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/loddon-plains,5,72,62
Merimbula,Rural Network,South Coast,Merimbula Airport,-36.90775,149.89893,6,2020,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/merimbula,34,148,74
Moolawatana,Rural Network,Far West (outside NSW),Private property,-29.9072,139.737,94,2008,Active,Indicative,Australian Central Standard Time (ACST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/moolawatana,62,88,129
Moree,Rural Network,North west slopes,BoM site,-29.4897,149.847,213,2008,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/moree,81,58,150
Narrandera,Rural Network,Riverina-Murray,BoM airport,-34.705,146.514,145,2012,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/narrandera,71,55,31
Parkes,Rural Network,Central West NSW,BoM airport,-33.1277,148.244,323,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/parkes,15,70,130
Pooncarie,Rural Network,Far West,Private property,-33.6016,142.531,323,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/pooncarie,122,52,29
Rand,Rural Network,Riverina-Murray,Private property,-35.6296,146.475,149,2010,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/rand,38,133,150
Temora,Rural Network,Riverina-Murray,BoM airport,-34.4278,147.512,279,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/temora,59,69,115
Tibooburra,Rural Network,Far West,BoM airport,-29.4448,142.057,178,2004,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/tibooburra,58,106,49
Wagga Wagga North,Rural Network,Riverina-Murray,Wagga Wagga racecourse,-35.10411,147.36037,179,2017,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/wagga,19,120,140
Walgett,Rural Network,Far West,BoM airport,-30.0359,148.123,132,2008,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/walgett,104,56,49
Walpeup,Rural Network,Far West (outside NSW),Meridian Road,-35.12,142,105,2011,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/walpeup,56,6,115
Werrimull,Rural Network,Far West (outside NSW),Corner of Carwarp Rd and Fraser Rd,-34.46656,141.56681,77,2018,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,ü,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/werrimull,69,101,92
West Wyalong,Rural Network,Riverina-Murray,BoM airport,-33.9384,147.196,254,2007,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/west-wyalong,76,76,77
White Cliffs,Rural Network,Far West,BoM airport,-30.8517,143.074,159,2008,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/white-cliffs,141,88,142
Wycheproof,Rural Network,Riverina-Murray (outside NSW),AG research station,-36.0971,143.355,111,2014,Active,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,https://www.environment.nsw.gov.au/topics/air/monitoring-air-quality/regional-and-rural-nsw/rural-monitoring-stations/wycheproof,145,113,133
Cammeray,Research Monitoring,Sydney East,Cnr Earnest & Park Ave,-33.82727,151.216707,88,2022,Active,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,ü,ü,,,,,Not available,,,
Cataract RFS (2019-20),Research Monitoring,Illawarra,Cataract Scout Park,-34.24479,150.82352,56,2019,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Katoomba,Research Monitoring,Blue Mountains,Valley Rd,-33.71028,150.29959,1046,2019,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Kurrajong Heights,Research Monitoring,Sydney north west,Bells Line of Road,-33.52106,150.62842,350,2000,Decommissioned (2003),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,,ü,ü,ü,,,,,ü,,ü,,,,,Not available,,,
Liverpool SWAQS,Research Monitoring,Sydney south west,"Liverpool Girl High School, Forbes Street",-33.91889,150.93252,12,2019,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Port Kembla (2002; 2014-15),Research Monitoring,Illawarra,Blaxland Ave and Flagstaff Rd,-34.47964,150.8817,59,2002,Decommissioned (2015),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,,,,,,ü,,ü,,,,,Not available,,,
Port Kembla Steelworks (2020),Research Monitoring,Illawarra,Flagstaff Road,-34.47892,150.87785,59,2020,Decommissioned (2020),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Wentworth Falls,Research Monitoring,Blue Mountains,Bodington Drive,-33.73277,150.38888,187,1998,Decommissioned (1999),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,,,,ü,,ü,ü,,,,ü,,ü,,,,,Not available,,,
Kurri Kurri,Emergency Monitoring,Lower Hunter,"11 Deakin Street, Kurri Kurri NSW, 2327",-32.8106,151.48618,,2021,Decommissioned (2021),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Bowral,Emergency Monitoring,Southern Tablelands,Corner of Alcorn St & Railway Parade  Bowral,-34.487777,150.410134,,2021,Decommissioned (2022),Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Batemans Bay,Bushfire Emergency,South Coast,"Catalina Country Club, Beach Road",-35.7234,150.1872,83,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
Coffs Harbour,Bushfire Emergency,Mid-north Coast,"City Centre, Park off Duke St near Carralls Gully",-30.29831,153.11808,21,2019,Transitioned to long-term site; see Mid-north Coast region,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,ü,,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Coffs Harbour,Bushfire Emergency,Mid-north Coast,"City Centre, Park off Duke St near Carralls Gully",-30.29831,153.11808,21,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
Cooma,Bushfire Emergency,Southern Tablelands,"Snowy Hydro Discover Centre carpark, Monaro Highway",-36.2226,149.1331,925,2020,Transitioned to long-term site; see South East LLS region,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
Grafton,Bushfire Emergency,Northern Rivers,Grafton Primary Industries Institute ,-29.62069,152.96331,35,2019,Transitioned to long-term site; see North Coast LLS region,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
Lismore,Bushfire Emergency,Northern Rivers,"Wilson Park School, Wyrallah Road",-28.83213,153.2935,12,2019,Decommissioned (2020). Site transitioned to long-term indicative site at the Lismore Airport; see North Coast LLS region,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,ü,ü,,,,,,,,,,,,,,,,,Not available,,,
Merimbula,Bushfire Emergency,South Coast,Merimbula Airport,-36.90775,149.89893,6,2020,Transitioned to long-term site; see South East LLS region,Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
Port Macquarie,Bushfire Emergency,Mid-north Coast,10 Sherwood Road,-31.44776,152.87653,73,2019,Transitioned to long-term site; see Mid-north Coast region,Standard - Australian Standards Methods,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),"Originally at 7 Sherwood Road: -31.4485, 152.876707. Moved to current location on 4/10/2019",ü,ü,,,ü,ü,ü,ü,ü,,,ü,,ü,,,,,Not available,,,
Taree,Bushfire Emergency,Mid-north Coast,Taree Airport,-31.88944,152.50861,24,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
Ulladulla,Bushfire Emergency,South Coast,"Light House Oval, Deering St",-35.3635,150.4828,15,2019,Decommissioned (2020),Indicative,Australian Eastern Standard Time (AEST),Australian Eastern Standard Time (AEST),,,,,ü,,,,,,,,,,,,,,,Not available,,,
